num,name,BBclass,Check,smiles
67,compound 38,1,2,CN(C)Cc1ccnc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)c1
68,maprotiline,1,2,CNCCCC12CCC(c3ccccc31)c1ccccc12
69,compound 43,1,2,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1
70,MIL-663581,0,2,CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O
71,cefotaxime,1,2,CO/N=C(\C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1
72,carbamazepine-10,1,2,NC(=O)N1c2ccccc2C2OC2c2ccccc21
73,Cyclohexane,1,2,C1CCCCC1
74,2,1,2,Cc1csc(N=C(N)N)n1
75,SKF89124,1,2,CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2
76,Org5222,1,2,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1
77,compound 35,0,2,CN(C)Cc1ccc(CSCCNC2N=CC=C2[N+](=O)[O-])o1
78,cefuroxime,1,2,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
79,compound 45,1,2,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3o2)c1
80,Org4428,1,2,Cc1cccc2c1Oc1ccccc1C1(O)CCN(C)CC21
81,compound 32,1,2,O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1
82,Bretyliumtosilate,1,2,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
83,Y-G 20,0,2,NCCc1cn2ccccc2n1
84,ornidazole,1,2,Cc1ncc([N+](=O)[O-])n1CC(O)CCl
85,SKF101468,1,2,CCCN(CCC)CCc1cccc2c1CC(=O)N2
86,Org30526,1,2,Clc1ccc2c(c1)C1CNCC1c1ccccc1O2
87,36,1,2,CN(C)CCC=C1c2ccccc2CCc2ccccc21
88,ceftriaxone,1,2,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1
89,compound 42,1,2,c1ccc(NCCCOc2cccc(CN3CCCCC3)c2)nc1
90,Org32104,1,2,Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21
91,compound 31,1,2,O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br
92,SB204457,1,2,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
93,compound 41,1,2,OCCCOc1cccc(CN2CCCCC2)c1
94,clomethiazole,1,2,Cc1ncsc1CCCl
95,celiprolol,1,2,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1
96,"""1,1,1-Trifluro-2-chloroethane""",1,2,FC(F)(F)CCl
97,33,1,2,CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1
98,cefoxitin,1,2,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
99,Org34167,1,2,C=CCC(N)c1ccccc1-c1noc2ccccc12
100,9-OH Risperidone,1,2,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O
103,allopurinol,0,2,O=c1ncnc2[nH][nH]cc1-2
104,Alprostadil,0,2,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
106,Amiodarone,0,2,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
107,amoxicillin,0,2,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
108,ampicillin,0,2,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
109,androsan,0,2,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
110,oxaflumazine,1,2,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(CCC3OCCCO3)CC1)c1ccccc1S2
111,oxazepam,1,2,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
112,oxiperomide,1,2,O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1
113,oxycodone,1,2,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
114,oxymorphone,1,2,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
115,pecazine,1,2,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
116,pemoline,1,2,NC1=NC(=O)C(c2ccccc2)O1
117,pentazocine,1,2,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@H]2C
118,Ethionamide,1,2,CCc1cc(C(N)=S)ccn1
119,Etoposide,0,2,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O
120,Famotidine,1,2,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
121,Fluconazole,1,2,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
122,Foscarnetsodium,1,2,O=C([O-])P(=O)([O-])[O-]
123,Gabapentin,1,2,NCC1(CC(=O)O)CCCCC1
124,Nafcillin,0,2,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12
126,Nelfinavir,0,2,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
127,Astemizole,0,2,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
128,atropine,0,2,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
129,Auxeomycin,0,2,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
130,Betamethasone,0,2,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
131,carbenicillin,0,2,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
132,carbidopa,0,2,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
133,carteolol,0,2,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
134,Cefazolin,0,2,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
135,cephapirin,0,2,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1
137,pergolide,1,2,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
138,perlapine,1,2,CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1
139,perphenazine-HCl,1,2,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
140,pethidine,1,2,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
141,phencyclidine,1,2,c1ccc(C2(N3CCCCC3)CCCCC2)cc1
142,phenelzine sulfate,1,2,O=S(=O)(O)O
143,phenobarbital,1,2,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
144,phenprobamate,1,2,NC(=O)OCCCc1ccccc1
145,physostigmine,1,2,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
146,Norepinephrine,0,2,NCC(O)c1ccc(O)c(O)c1
147,Omeprazole,0,2,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
148,Oxacillin,0,2,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
149,Pentostatin,1,2,OC[C@H]1O[C@@H](n2cnc3c2NC=NC[C@H]3O)C[C@@H]1O
150,Phenoxymethylpenicillin,0,2,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
151,chloramphenicol,0,2,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
152,chlorothiazide,0,2,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
153,chlorpropamide,0,2,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
155,chlorthalidone,0,2,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
156,clofibrate,0,2,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
157,clofibric acid,0,2,CC(C)(Oc1ccc(Cl)cc1)C(=O)O
158,clotrimazole,0,2,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
159,corticosterone,0,2,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
160,Cortisone,0,2,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
161,piflutixol,1,2,OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1
162,pimozide,1,2,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
163,pinoxepin,1,2,OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1
164,pipamperone,1,2,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
165,prazepam,1,2,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
166,pregnanolone,1,2,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
167,primidone,1,2,CCC1(c2ccccc2)C(=O)NCNC1=O
168,procaine,1,2,CCN(CC)CCOC(=O)c1ccc(N)cc1
169,procyclidine,1,2,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
170,promazine,1,2,CN(C)CCCN1c2ccccc2Sc2ccccc21
171,Pindolol,1,2,CC(C)NCC(O)COc1cccc2[nH]ccc12
172,Plicamycin,1,2,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
173,Pravastatin,0,2,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
174,Praziquantel,1,2,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
175,Trimethoprim,1,2,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
177,Trometamol,0,2,NC(CO)(CO)CO
178,Trovafloxacin,1,2,NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12
179,Urea,1,2,NC(N)=O
180,coumarin,0,2,O=c1ccc2ccccc2o1
181,dapsone,0,2,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
182,Dehydrocholic acid,0,2,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C
183,dicumarol,0,2,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12
184,dicyclomine,0,2,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
185,Diethylstilbestrol,0,2,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
186,Digitoxin,0,2,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
187,Digoxin,0,2,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
188,Domperidone,0,2,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
189,promethazine-HCl,1,2,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
190,propiomazine,1,2,CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2
191,propofol,1,2,CC(C)c1cccc(C(C)C)c1O
192,protriptyline,1,2,CNCCCC1c2ccccc2C=Cc2ccccc21
193,pyridazinone,1,2,O=c1cc[nH]nc1
194,quazepam,1,2,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
195,rescinnamine,1,2,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
196,reserpine,1,2,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
197,secobarbital,1,2,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
198,spiclomazine,1,2,O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1
199,Atovaquone,0,2,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1
200,Azelaicacid,0,2,O=C(O)CCCCCCCC(=O)O
201,Azithromycin,0,2,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
202,Bacitracin,0,2,CCC(C)C(N)C1=NC(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCCCC[C@@H]2NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1
203,Bethanechol,0,2,CC(C[N+](C)(C)C)OC(N)=O
204,Bretyliumtosilate,0,2,Cc1ccc(S(=O)(=O)[O-])cc1
205,Bromocriptine,0,2,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
206,Buprenorphine,1,2,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
207,dopamine,0,2,NCCc1ccc(O)c(O)c1
208,doxorubicin,0,2,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
209,doxycycline,0,2,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
210,Dyclonine,0,2,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1
211,Econazole,0,2,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
212,enkephalin,0,2,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(N)=O
213,Ephedrine,0,2,CN[C@@H](C)[C@H](O)c1ccccc1
214,epinephrine,0,2,CNC[C@H](O)c1ccc(O)c(O)c1
215,erythromycin,0,2,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
216,estradiol,0,2,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
217,tacrine,1,2,Nc1c2c(nc3ccccc13)CCCC2
218,temazepam,1,2,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
219,tetrabenzine,1,2,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
220,thc,1,2,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
221,thebaine,1,2,COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5
222,thiethylperazine,1,2,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
223,thioridazine,1,2,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
224,thiothixene,1,2,CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
225,tranylcypromine,1,2,N[C@@H]1C[C@H]1c1ccccc1
226,trazodone,1,2,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
227,Busulfan,1,2,CS(=O)(=O)OCCCCOS(C)(=O)=O
228,Cefradine,0,2,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1
229,Chloroquine,1,2,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
230,Cisapride,1,2,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
231,Cladribine,1,2,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
232,Clidiniumbromide,0,2,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
233,estrone,0,2,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
234,Ethacrynic acid,0,2,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
235,ethinylestradiol,0,2,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
236,fenoterol,0,2,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
237,floxuridine,0,2,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
238,Flucloxacillin,0,2,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
239,fluorouracil,0,2,O=c1[nH]cc(F)c(=O)[nH]1
240,furosemide,0,2,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
241,ganciclovir,0,2,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1
242,glycopyrrolate,0,2,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
243,trifluperidol,1,2,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
